**** Job starts ****
Fri Oct 27 13:49:57 EDT 2017
**** JHPCE info ****
User: lcollado
Job id: 3244486
Job name: atacFullCov
Hostname: compute-050
Task id: 
Using the following user library: ~/R/x86_64-pc-linux-gnu-library/3.3.x
Using the following user library: ~/R/x86_64-pc-linux-gnu-library/3.3.x
Using the following user library: ~/R/x86_64-pc-linux-gnu-library/3.3.x
Using the following user library: ~/R/x86_64-pc-linux-gnu-library/3.3.x
Using the following user library: ~/R/x86_64-pc-linux-gnu-library/3.3.x
Using the following user library: ~/R/x86_64-pc-linux-gnu-library/3.3.x
2017-10-27 13:50:35 fullCoverage: processing chromosome chr21
2017-10-27 13:50:36 loadCoverage: finding chromosome lengths
2017-10-27 13:50:36 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus10.final.bam
2017-10-27 13:50:41 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus11.final.bam
2017-10-27 13:50:51 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus12.final.bam
2017-10-27 13:51:02 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus13.final.bam
2017-10-27 13:51:07 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus14.final.bam
2017-10-27 13:51:09 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus15.final.bam
2017-10-27 13:51:12 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus16.final.bam
2017-10-27 13:51:27 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus18.final.bam
2017-10-27 13:51:40 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus19.final.bam
2017-10-27 13:51:48 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus1.final.bam
2017-10-27 13:51:53 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus20.final.bam
2017-10-27 13:51:58 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus21.final.bam
2017-10-27 13:52:06 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus23.final.bam
2017-10-27 13:52:12 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus24.final.bam
2017-10-27 13:52:18 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus25.final.bam
2017-10-27 13:52:27 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus26.final.bam
2017-10-27 13:52:34 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus27.final.bam
2017-10-27 13:52:45 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus2.final.bam
2017-10-27 13:52:52 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus30.final.bam
2017-10-27 13:52:58 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus3.final.bam
2017-10-27 13:53:01 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus4.final.bam
2017-10-27 13:53:02 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus5.final.bam
2017-10-27 13:53:03 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus6.final.bam
2017-10-27 13:53:08 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus7.final.bam
2017-10-27 13:53:14 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus8.final.bam
2017-10-27 13:53:17 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Minus9.final.bam
2017-10-27 13:53:19 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus10.final.bam
2017-10-27 13:53:26 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus11.final.bam
2017-10-27 13:53:32 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus12.final.bam
2017-10-27 13:53:37 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus13.final.bam
2017-10-27 13:53:43 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus14.final.bam
2017-10-27 13:53:53 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus15.final.bam
2017-10-27 13:54:00 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus16.final.bam
2017-10-27 13:54:08 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus18.final.bam
2017-10-27 13:54:14 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus19.final.bam
2017-10-27 13:54:18 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus1.final.bam
2017-10-27 13:54:20 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus20.final.bam
2017-10-27 13:54:25 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus21.final.bam
2017-10-27 13:54:33 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus23.final.bam
2017-10-27 13:54:38 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus24.final.bam
2017-10-27 13:54:44 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus25.final.bam
2017-10-27 13:54:50 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus26.final.bam
2017-10-27 13:54:59 loadCoverage: loading BAM file /dcl01/lieber/ajaffe/Amanda/ATAC/BAMs/combined_set//Plus27.final.bam
